	Cell Line HMS LINCS ID	Cell Line Name	ERK log10(pg/cell)	Akt log10(pg/cell)	ErbB1 log10(pg/cell)	ErbB2 log10(pg/cell)	ErbB3 log10(pg/cell)	ErbB4 log10(pg/cell)	InsR log10(pg/cell)	IGF1R log10(pg/cell)	IGF2R log10(pg/cell)	VEGFR1 log10(pg/cell)	VEGFR2 log10(pg/cell)	VEGFR3 log10(pg/cell)	PDGFRa log10(pg/cell)	PDGFRb log10(pg/cell)	c-Met log10(pg/cell)	c-Kit log10(pg/cell)	EphA2 log10(pg/cell)	Src log10(pg/cell)	TrkA log10(pg/cell)	FGFR1 log10(pg/cell)	FGFR2 log10(pg/cell)	FGFR3 log10(pg/cell)	FGFR4 log10(pg/cell)	EpCAM log10(pg/cell)	pERK RnD log10(a.u.)	pERK CST log10(a.u.)	pAkt log10(a.u.)	pErbB1 log10(a.u.)	pErbB2 log10(a.u.)	pErbB3 log10(a.u.)	pErbB4 log10(a.u.)	pInsR log10(a.u.)	pIGF1R log10(a.u.)	pIGF1R log10(Y1131) log10(a.u.)	pVEGFR1 log10(a.u.)	pVEGFR2 log10(a.u.)	pVEGFR3 log10(a.u.)	pPDGFRa log10(a.u.)	pPDGFRb log10(a.u.)	pc-Met log10(a.u.)	pc-Kit log10(a.u.)	pEphA2 log10(a.u.)	pSrc log10(a.u.)	pTrkA log10(a.u.)	ER log10(a.u.)	PR log10(a.u.)
26	50329	MDA-MB-175-VII	0.001428	-1.320145287	-2.104964403	-1.126121627	-2.032031037	-4.823908741	-4.214670165	-2.134363112	-1.898321649	-5.15490196	-6	-3.714442691	-3.749579998	-5.22184875	-4.075720714	-6.762	-1.842996803	-0.468185273	-5.698970004	-0.613929298	-5.698970004	-4.744727495	-6	-1.351786405	-3.07007044	-2.073914913	-0.527931362	-3.266802735	-1.797593427	-2.040672354	-2.096475936	-2.165515715	-4.431798276	-2.737074531	-4.431798276	-4.886056648	-4.096910013	-5.045757491	-3.872895202	-4.795880017	-2.903437562	-4.638272164	-3.425968732	-3.935542011	-4.045757491	-4.327902142
27	50058	MDA-MB-231	0.000398	-1.443359846	-1.077305675	-2.099305226	-3.22475374	-4.823908741	-4.214670165	-2.324496615	-1.506569834	-5.15490196	-6	-3.714442691	-3.749579998	-2.217455716	-1.095798557	-6.762	-0.930135886	-0.647167492	-5.698970004	-0.83763875	-5.698970004	-4.744727495	-6	-1.953778063	-3.619788758	-3.147520006	-2.175418624	-2.001435542	-2.455064234	-4.283996656	-2.863596552	-2.348721986	-4.431798276	-1.940285154	-4.431798276	-4.886056648	-4.096910013	-3.238072162	-3.872895202	-4.795880017	-2.903437562	-4.638272164	-3.935542011	-3.935542011	-4.602059991	-4.173925197
28	50331	MDA-MB-361	0.001199	-1.170657625	-2.782516056	-0.67964389	-1.841155226	-4.823908741	-2.450751443	-1.802554028	-1.788452319	-5.15490196	-6	-3.714442691	-3.749579998	-5.22184875	-4.075720714	-6.762	-2.986741335	-0.995893677	-5.698970004	-0.898496942	-2.960982678	-4.744727495	-6	-0.547039642	-4.568636236	-3.122053048	-1.246784754	-2.258612008	-1.118301578	-4.283996656	-3.095825632	-1.853747898	-4.431798276	-2.737074531	-4.431798276	-4.886056648	-4.096910013	-3.151810883	-3.872895202	-4.795880017	-2.903437562	-4.638272164	-3.974694135	-3.935542011	-2.932557157	-2.885055584
29	50332	MDA-MB-415	0.002446	-1.475344288	-4.075720714	-1.275740519	-1.503610098	-4.823908741	-2.583193128	-2.302160632	-1.796097219	-3.189095719	-6	-3.714442691	-3.749579998	-3.478861916	-2.051440338	-2.390192231	-2.07319469	0.555624352	-5.698970004	-0.635531557	-2.737311656	-3.4710833	-2.446845452	-0.281514089	-4.568636236	-3.063989204	0.020561393	-2.458545571	-1.982424132	-4.283996656	-2.515415471	-1.41306405	-4.431798276	-2.737074531	-4.431798276	-4.886056648	-4.096910013	-2.613857891	-3.872895202	-4.795880017	-2.903437562	-4.638272164	-3.443697499	-3.935542011	-3.304518324	-3.396855627
30	50333	MDA-MB-436	0.000792	-1.820017575	-1.527770288	-2.557363474	-3.122053048	-4.823908741	-4.214670165	-2.005462896	-1.362490257	-3.36251027	-6	-3.714442691	-3.749579998	-5.22184875	-0.582199596	-6.762	-1.127779608	-1.417391269	-5.698970004	-0.791996922	-5.698970004	-4.744727495	-6	-2.344189506	-3.728158393	-2.861381566	-0.538135464	-2.78968148	-2.651889932	-4.283996656	-4.568636236	-4.795880017	-4.431798276	-2.737074531	-4.431798276	-4.886056648	-4.096910013	-5.045757491	-3.872895202	-4.795880017	-2.903437562	-4.638272164	-4.387216143	-3.935542011	-5.22184875	-4.337242168
31	50334	MDA-MB-453	0.001429	-0.920384676	-2.551757587	-0.607259092	-1.544165772	-4.823908741	-2.24131515	-2.653647026	-1.922123596	-3.318758763	-6	-3.714442691	-3.749579998	-3.886056648	-4.075720714	-4.552841969	-2.795880017	-4	-5.698970004	-0.578937634	-2.825649403	-4.744727495	-1.182639597	-0.417412844	-3.723538196	-2.685500772	-0.295539751	-2.108016769	-1.017891658	-2.120445399	-2.008552402	-1.774019115	-4.431798276	-2.737074531	-4.431798276	-4.886056648	-4.096910013	-2.588548658	-3.872895202	-4.795880017	-2.903437562	-4.638272164	-4.638272164	-3.935542011	-4.229147988	-3.795880017
32	50335	MDA-MB-468	0.000581	-1.736080017	-0.047260334	-4.075720714	-2.41499072	-2.67840157	-2.19695279	-2.408490191	-2.211266141	-3.590066877	-3.388276692	-3.714442691	-3.749579998	-3.609064893	-0.755280149	-3.853871964	-2.083335535	-1.048142999	-5.698970004	-0.800025537	-3.804100348	-4.744727495	-6	-0.243581474	-4.017728767	-3.222573178	-0.568398243	-0.762632227	-2.226359807	-4.283996656	-2.32817944	-1.873803632	-2.64320954	-2.737074531	-4.431798276	-4.886056648	-4.096910013	-2.813043665	-3.872895202	-3.500312917	-2.903437562	-4.638272164	-4.113509275	-2.237096472	-4.318758763	-3.962573502
33	50057	SK-BR-3	0.001342	-1.459695557	-1.310016688	0.156956906	-1.691948079	-4.823908741	-2.161528721	-2.733063089	-1.647431614	-3.40560745	-6	-3.714442691	-3.749579998	-3.829738285	-1.903576669	-6.762	-2.103970088	-0.754455255	-5.698970004	-0.639561855	-2.841939206	-4.744727495	-6	-0.493799486	-3.714442691	-2.968591536	-0.584592575	-0.432900669	0.076766018	-1.849581306	-1.293393152	-1.526177403	-2.386158178	-2.737074531	-4.431798276	-4.886056648	-4.096910013	-2.787013815	-3.872895202	-2.39815721	-2.903437562	-4.638272164	-4.318758763	-3.935542011	-4.522878745	-3.903089987
34	50541	T47D	0.000537	-1.495583513	-2.006167133	-1.447465621	-1.559295525	-3.353596274	-2.579549141	-1.632234209	-1.745596954	-3.657577319	-6	-3.714442691	-3.749579998	-3.573488739	-4.075720714	-6.762	-2.735418271	-0.546551697	-5.698970004	-0.7070797	-2.931814138	-4.744727495	-6	-0.778596196	-3.647817482	-3.152427341	-0.733549564	-2.434152181	-1.953114809	-4.283996656	-2.35261703	-2.293111605	-2.218891164	-1.572903567	-4.431798276	-4.886056648	-4.096910013	-2.92885471	-3.872895202	-4.795880017	-2.903437562	-4.638272164	-3.896196279	-3.935542011	-2.88941029	-1.707323133
35	50556	UACC-812	0.002318	-1.202649349	-2.449527043	0.033254026	-1.934457629	-4.823908741	-4.214670165	-1.678028944	-1.520583063	-5.15490196	-6	-3.714442691	-3.749579998	-5.22184875	-0.667248557	-6.762	-1.764951562	0.144832839	-5.698970004	-0.533221323	-3.879426069	-4.744727495	-6	-0.570480267	-2.894830572	-2.208519884	-0.685157766	-1.781648334	-0.225464787	-4.283996656	-1.796015756	-4.795880017	-4.431798276	-0.958994404	-4.431798276	-4.886056648	-2.682145511	-5.045757491	-3.872895202	-4.795880017	-2.903437562	-4.638272164	-3.202040356	-3.935542011	-3.467245621	-3.258060922
36	50557	UACC-893	0.001192	-1.147318765	-1.258328505	0.536869155	-1.672273348	-4.823908741	-2.344861565	-3.68613278	-1.207377215	-2.681936665	-6	-3.714442691	-3.749579998	-5.22184875	-1.636990057	-6.762	-1.964610291	-1.155616031	-3.36552273	-1.08107891	-2.358922687	-2.084916898	-2.688458042	-0.023095927	-2.77237035	-2.454816632	0.28861918	-0.713148489	0.326957972	-1.39767951	-1.382297383	-1.309051205	-1.668633448	-2.737074531	-4.431798276	-4.886056648	-2.751046385	-2.150949309	-3.872895202	-2.245422344	-2.903437562	-4.638272164	-4.102372909	-2.584192272	-3.752026734	-3.363512104
37	50574	ZR-75-1	0.002113	-0.98660656	-2.629116983	-1.227663621	-1.570667687	-4.823908741	-4.214670165	-1.908051809	-2.031563752	-5.15490196	-6	-3.714442691	-3.749579998	-5.22184875	-4.075720714	-6.762	-2.42044504	-0.395787991	-5.698970004	-0.77349547	-3.500312917	-3.692503962	-3.314258261	-0.584454095	-4.070581074	-3.53313238	-1.421085862	-2.777803954	-2.244506272	-4.283996656	-4.568636236	-2.522155524	-4.431798276	-2.737074531	-4.431798276	-4.886056648	-4.096910013	-2.62378815	-3.872895202	-4.795880017	-2.903437562	-3.739928612	-3.809668302	-3.935542011	-2.936666641	-2.199351645
38	50575	ZR-75-30	0.000961	-1.100469489	-4.075720714	0.312682047	-1.311170995	-4.823908741	-4.214670165	-2.130123187	-1.752296718	-5.15490196	-6	-3.714442691	-3.218244625	-5.22184875	-4.075720714	-6.762	-2.499763525	-0.655603796	-5.698970004	-0.711981177	-5.698970004	-2.716020716	-3.838631998	-1.236856637	-2.68803434	-2.357139947	-0.45764521	-2.673869043	-0.003457245	-1.678111722	-1.969886247	-1.642065153	-2.157141238	-2.737074531	-4.431798276	-4.886056648	-2.669789215	-2.979224512	-3.872895202	-4.795880017	-2.903437562	-4.638272164	-4.142667504	-3.935542011	-3.032920266	-3.935542011
